agent,episode,score,reward,steps,valid_moves,invalid_attempts
Random,1,10,2.0,11,11,0
Random,2,0,0.5,8,8,0
Random,3,300,36.0,29,29,0
Random,4,100,15.5,20,20,0
Random,5,80,15.0,19,19,0
PPO,1,0,-500.0,1000,0,1000
PPO,2,0,-500.0,1000,0,1000
PPO,3,0,-500.0,1000,0,1000
PPO,4,0,-500.0,1000,0,1000
PPO,5,0,-500.0,1000,0,1000
DQN,1,0,-141.0,291,8,283
DQN,2,0,-493.0,1000,7,993
DQN,3,0,-493.0,1000,7,993
DQN,4,0,-493.0,1000,7,993
DQN,5,0,-489.0,1000,11,989
Masked PPO,1,140,18.5,20,20,0
Masked PPO,2,420,50.5,38,38,0
Masked PPO,3,350,49.5,43,43,0
Masked PPO,4,100,9.5,14,14,0
Masked PPO,5,590,75.0,56,56,0
